time,temperature_2m_max,temperature_2m_min,precipitation_sum,il
2024-05-01,28.5,20.1,6.1,Adana
2024-05-02,25.1,18.3,48.0,Adana
2024-05-03,25.2,17.2,5.2,Adana
2024-05-04,22.8,16.8,35.3,Adana
2024-05-05,20.0,13.4,9.9,Adana
2024-05-06,22.0,12.4,0.6,Adana
2024-05-07,22.9,11.9,0.0,Adana
2024-05-08,25.6,14.4,0.0,Adana
2024-05-09,29.1,14.8,0.0,Adana
2024-05-10,32.4,18.4,0.0,Adana
2024-05-11,27.0,18.6,0.6,Adana
2024-05-12,24.2,15.8,20.7,Adana
2024-05-13,23.6,15.1,17.8,Adana
2024-05-14,23.5,14.5,2.7,Adana
2024-05-15,22.9,15.4,6.6,Adana
2024-05-16,25.0,16.0,1.6,Adana
2024-05-17,26.6,16.7,0.1,Adana
2024-05-18,26.5,17.3,0.0,Adana
2024-05-19,28.6,18.3,0.1,Adana
2024-05-20,29.8,18.3,0.1,Adana
2024-05-21,30.4,19.8,0.0,Adana
2024-05-22,30.2,19.0,0.0,Adana
2024-05-23,28.3,20.6,1.2,Adana
2024-05-24,23.3,17.0,17.2,Adana
2024-05-25,25.6,16.4,5.4,Adana
2024-05-26,26.2,17.3,1.2,Adana
2024-05-27,28.2,17.9,1.2,Adana
2024-05-28,25.4,19.5,6.6,Adana
2024-05-29,27.2,18.8,1.3,Adana
2024-05-30,26.6,18.1,0.4,Adana
2024-05-31,26.4,17.9,0.9,Adana
2024-06-01,30.5,18.3,0.0,Adana
2024-06-02,36.2,19.4,0.0,Adana
2024-06-03,39.3,21.3,0.0,Adana
2024-06-04,40.4,22.7,0.0,Adana
2024-06-05,40.3,22.6,0.0,Adana
2024-06-06,41.8,23.6,0.0,Adana
2024-06-07,40.9,24.6,0.0,Adana
2024-06-08,37.1,23.7,0.0,Adana
2024-06-09,35.1,22.7,0.0,Adana
2024-06-10,36.2,22.9,0.0,Adana
2024-06-11,34.7,22.3,0.0,Adana
2024-06-12,35.8,21.9,0.0,Adana
2024-06-13,37.2,22.7,0.0,Adana
2024-06-14,39.0,23.4,0.0,Adana
2024-06-15,35.7,24.4,0.0,Adana
2024-06-16,34.6,24.0,0.0,Adana
2024-06-17,34.1,23.2,0.0,Adana
2024-06-18,36.1,23.5,0.0,Adana
2024-06-19,37.7,24.1,0.0,Adana
2024-06-20,36.4,24.6,0.0,Adana
2024-06-21,35.6,25.3,0.3,Adana
2024-06-22,34.4,26.0,0.0,Adana
2024-06-23,34.8,26.1,0.0,Adana
2024-06-24,35.2,24.4,0.0,Adana
2024-06-25,35.7,25.2,0.0,Adana
2024-06-26,36.3,25.8,0.0,Adana
2024-06-27,37.9,24.6,0.0,Adana
2024-06-28,36.9,25.0,0.3,Adana
2024-06-29,34.9,25.7,0.4,Adana
2024-06-30,36.4,22.6,0.0,Adana
2024-07-01,37.4,25.6,0.4,Adana
2024-07-02,36.7,24.9,0.0,Adana
2024-07-03,34.3,25.3,1.1,Adana
2024-07-04,34.7,25.4,0.0,Adana
2024-07-05,34.1,24.9,2.7,Adana
2024-07-06,36.2,24.1,0.9,Adana
2024-07-07,40.1,24.8,0.0,Adana
2024-07-08,37.6,25.7,0.0,Adana
2024-07-09,37.4,26.0,0.4,Adana
2024-07-10,36.1,26.5,0.4,Adana
2024-07-11,36.7,26.9,0.5,Adana
2024-07-12,36.3,26.9,0.6,Adana
2024-07-13,35.3,26.3,1.2,Adana
2024-07-14,35.4,26.3,0.5,Adana
2024-07-15,36.4,26.3,0.0,Adana
2024-07-16,36.3,26.4,2.5,Adana
2024-07-17,36.6,26.5,0.0,Adana
2024-07-18,35.9,26.8,0.9,Adana
2024-07-19,40.2,27.1,0.0,Adana
2024-07-20,40.6,26.8,0.0,Adana
2024-07-21,38.4,27.2,0.1,Adana
2024-07-22,37.7,26.8,0.1,Adana
2024-07-23,37.0,27.4,1.0,Adana
2024-07-24,36.0,27.5,2.2,Adana
2024-07-25,33.9,26.6,5.7,Adana
2024-07-26,34.3,25.3,4.0,Adana
2024-07-27,36.4,25.7,3.8,Adana
2024-07-28,40.8,24.9,0.0,Adana
2024-07-29,40.3,25.8,0.0,Adana
2024-07-30,36.8,26.0,0.0,Adana
2024-07-31,39.9,25.8,0.0,Adana
2024-08-01,38.0,26.1,0.0,Adana
2024-08-02,37.8,25.6,0.0,Adana
2024-08-03,36.4,25.7,0.2,Adana
2024-08-04,36.3,25.7,0.0,Adana
2024-08-05,36.6,27.0,0.0,Adana
2024-08-06,37.9,26.5,0.0,Adana
2024-08-07,36.8,26.1,0.0,Adana
2024-08-08,36.6,27.2,0.0,Adana
2024-08-09,37.3,26.6,0.4,Adana
2024-08-10,36.6,26.7,1.0,Adana
2024-08-11,38.1,26.8,0.0,Adana
2024-08-12,39.3,26.9,0.0,Adana
2024-08-13,38.4,25.8,0.0,Adana
2024-08-14,38.3,26.1,0.0,Adana
2024-08-15,37.0,26.4,0.0,Adana
2024-08-16,38.7,26.4,0.0,Adana
2024-08-17,39.0,26.9,0.1,Adana
2024-08-18,37.9,25.9,0.0,Adana
2024-08-19,36.8,25.0,0.0,Adana
2024-08-20,36.1,26.2,1.3,Adana
2024-08-21,36.6,26.1,0.0,Adana
2024-08-22,36.1,26.1,0.0,Adana
2024-08-23,36.1,26.3,0.0,Adana
2024-08-24,35.7,26.6,1.0,Adana
2024-08-25,35.4,24.8,0.6,Adana
2024-08-26,35.1,24.1,1.4,Adana
2024-08-27,35.0,24.5,5.0,Adana
2024-08-28,34.9,25.7,1.1,Adana
2024-08-29,34.6,26.3,0.5,Adana
2024-08-30,34.8,24.3,0.2,Adana
2024-08-31,35.5,25.6,3.4,Adana
2024-09-01,33.8,23.7,5.5,Adana
2024-09-02,32.4,22.8,0.9,Adana
2024-09-03,34.3,23.5,0.0,Adana
2024-09-04,35.0,24.4,0.1,Adana
2024-09-05,33.2,25.7,2.9,Adana
2024-09-06,35.3,24.7,1.2,Adana
2024-09-07,35.8,23.8,4.3,Adana
2024-09-08,33.0,21.8,10.4,Adana
2024-09-09,35.9,23.9,0.0,Adana
2024-09-10,34.6,23.9,0.3,Adana
2024-09-11,33.1,23.1,0.0,Adana
2024-09-12,34.1,23.0,0.0,Adana
2024-09-13,34.3,24.4,0.0,Adana
2024-09-14,33.9,24.1,1.6,Adana
2024-09-15,32.2,24.8,0.8,Adana
2024-09-16,31.5,22.8,2.5,Adana
2024-09-17,31.6,21.7,0.1,Adana
2024-09-18,33.4,22.3,0.2,Adana
2024-09-19,27.6,21.0,16.8,Adana
2024-09-20,31.2,20.9,1.2,Adana
2024-09-21,30.6,20.2,2.8,Adana
2024-09-22,25.6,19.0,1.9,Adana
2024-09-23,28.9,18.8,0.2,Adana
2024-09-24,29.8,19.7,0.0,Adana
2024-09-25,32.6,19.9,0.0,Adana
2024-09-26,34.9,21.0,0.0,Adana
2024-09-27,35.7,21.3,0.0,Adana
2024-09-28,35.4,19.9,0.0,Adana
2024-09-29,32.7,20.3,0.0,Adana
2024-09-30,30.6,19.7,11.2,Adana
2024-10-01,28.1,19.3,1.4,Adana
2024-10-02,28.6,19.5,0.0,Adana
2024-10-03,29.7,18.4,0.0,Adana
2024-10-04,31.2,17.8,0.0,Adana
2024-10-05,32.8,18.1,0.0,Adana
2024-10-06,34.2,18.5,0.0,Adana
2024-10-07,32.9,19.6,0.0,Adana
2024-10-08,32.4,20.4,0.0,Adana
2024-10-09,32.1,20.7,0.0,Adana
2024-10-10,31.0,20.8,0.0,Adana
2024-10-11,29.7,21.3,0.3,Adana
2024-10-12,31.9,20.9,0.0,Adana
2024-10-13,29.5,19.3,7.5,Adana
2024-10-14,30.1,20.1,1.1,Adana
2024-10-15,31.7,20.6,0.0,Adana
2024-10-16,31.6,20.3,0.0,Adana
2024-10-17,28.5,19.2,0.0,Adana
2024-10-18,24.4,17.0,0.0,Adana
2024-10-19,23.3,15.2,0.0,Adana
2024-10-20,23.8,13.1,0.0,Adana
2024-10-21,24.3,15.1,0.0,Adana
2024-10-22,23.9,13.0,0.0,Adana
2024-10-23,25.2,12.8,0.0,Adana
2024-10-24,26.9,13.0,0.0,Adana
2024-10-25,27.2,13.1,0.0,Adana
2024-10-26,28.0,14.5,0.0,Adana
2024-10-27,27.3,15.2,0.0,Adana
2024-10-28,27.5,13.0,0.0,Adana
2024-10-29,27.1,12.4,0.0,Adana
2024-10-30,28.2,13.9,0.0,Adana
2024-10-31,27.8,14.5,0.0,Adana
2024-11-01,28.5,16.9,0.0,Adana
2024-11-02,28.2,16.8,0.0,Adana
2024-11-03,27.3,16.2,0.0,Adana
2024-11-04,24.3,13.9,0.0,Adana
2024-11-05,24.4,12.9,0.0,Adana
2024-11-06,24.6,12.6,0.0,Adana
2024-11-07,25.8,13.5,0.0,Adana
2024-11-08,26.5,13.6,0.0,Adana
2024-11-09,26.5,12.9,0.0,Adana
2024-11-10,25.7,17.4,0.4,Adana
2024-11-11,24.7,15.6,0.0,Adana
2024-11-12,25.3,13.1,0.0,Adana
2024-11-13,24.6,12.9,0.0,Adana
2024-11-14,23.7,13.3,0.0,Adana
2024-11-15,22.8,13.2,0.1,Adana
2024-11-16,21.1,13.2,0.6,Adana
2024-11-17,15.7,13.7,34.4,Adana
2024-11-18,17.3,12.8,10.5,Adana
2024-11-19,19.3,11.1,0.0,Adana
2024-11-20,17.2,11.9,2.5,Adana
2024-11-21,17.3,12.1,8.7,Adana
2024-11-22,16.4,13.5,41.7,Adana
